security,name,file,status,rows
CWY AT Equity,Cleanaway Waste Management Ltd,CWY-AT-Equity.csv,downloaded,3849
CXL AT Equity,Calix Ltd,CXL-AT-Equity.csv,downloaded,582
CXO AT Equity,Core Lithium Ltd,CXO-AT-Equity.csv,downloaded,2128
CYL AT Equity,Catalyst Metals Ltd,CYL-AT-Equity.csv,downloaded,2230
CYM AT Equity,Cyprium Metals Ltd,CYM-AT-Equity.csv,downloaded,3685
DBI AT Equity,Dalrymple Bay Infrastructure L,DBI-AT-Equity.csv,too_short,16
DDR AT Equity,Dicker Data Ltd,DDR-AT-Equity.csv,downloaded,2102
DGT AT Equity,DigiCo Infrastructure REIT,DGT-AT-Equity.csv,too_short,0
DMP AT Equity,Domino's Pizza Enterprises Ltd,DMP-AT-Equity.csv,downloaded,3899
DNL AT Equity,Dyno Nobel Ltd,DNL-AT-Equity.csv,downloaded,4407
DOW AT Equity,Downer EDI Ltd,DOW-AT-Equity.csv,downloaded,5181
DPM AT Equity,DPM Metals Inc,DPM-AT-Equity.csv,too_short,0
DRO AT Equity,DroneShield Ltd,DRO-AT-Equity.csv,downloaded,1101
DRR AT Equity,Deterra Royalties Ltd,DRR-AT-Equity.csv,downloaded,48
DTL AT Equity,Data#3 Ltd,DTL-AT-Equity.csv,downloaded,5098
DTR AT Equity,Dateline Resources Ltd,DTR-AT-Equity.csv,downloaded,986
DUG AT Equity,DUG Technology Ltd,DUG-AT-Equity.csv,downloaded,96
DUR AT Equity,Duratec Ltd,DUR-AT-Equity.csv,too_short,40
DVP AT Equity,Develop Global Ltd,DVP-AT-Equity.csv,downloaded,2814
DXB AT Equity,Dimerix Ltd,DXB-AT-Equity.csv,downloaded,3265
DXC AT Equity,Dexus Convenience Retail REIT,DXC-AT-Equity.csv,downloaded,858
DXI AT Equity,Dexus Industria REIT,DXI-AT-Equity.csv,downloaded,1790
DXS AT Equity,Dexus,DXS-AT-Equity.csv,downloaded,4103
DYL AT Equity,Deep Yellow Ltd,DYL-AT-Equity.csv,downloaded,5010
EBO AT Equity,EBOS Group Ltd,EBO-AT-Equity.csv,downloaded,929
EBR AT Equity,EBR Systems Inc,EBR-AT-Equity.csv,too_short,0
EDV AT Equity,Endeavour Group Ltd/Australia,EDV-AT-Equity.csv,too_short,0
EHL AT Equity,Emeco Holdings Ltd,EHL-AT-Equity.csv,downloaded,3628
EIQ AT Equity,ECHOiQ Ltd,EIQ-AT-Equity.csv,downloaded,1106
ELD AT Equity,Elders Ltd,ELD-AT-Equity.csv,downloaded,5298
ELS AT Equity,Elsight Ltd,ELS-AT-Equity.csv,downloaded,869
ELV AT Equity,Elevra Lithium Ltd,ELV-AT-Equity.csv,downloaded,2417
EML AT Equity,EML Payments Ltd,EML-AT-Equity.csv,downloaded,3143
EMR AT Equity,Emerald Resources NL,EMR-AT-Equity.csv,downloaded,3861
EOL AT Equity,Energy One Ltd,EOL-AT-Equity.csv,downloaded,1017
EOS AT Equity,Electro Optic Systems Holdings,EOS-AT-Equity.csv,downloaded,4228
EQR AT Equity,EQ Resources Ltd,EQR-AT-Equity.csv,downloaded,2855
EQT AT Equity,EQT Holdings Ltd,EQT-AT-Equity.csv,downloaded,4053
ETM AT Equity,Energy Transition Minerals Ltd,ETM-AT-Equity.csv,downloaded,3390
EUR AT Equity,European Lithium Ltd,EUR-AT-Equity.csv,downloaded,1481
EVN AT Equity,Evolution Mining Ltd,EVN-AT-Equity.csv,downloaded,4461
EVT AT Equity,EVT Ltd,EVT-AT-Equity.csv,downloaded,5273
FBU AT Equity,Fletcher Building Ltd,FBU-AT-Equity.csv,downloaded,4803
FCL AT Equity,Fineos Corp Ltd,FCL-AT-Equity.csv,downloaded,349
FEX AT Equity,Fenix Resources Ltd,FEX-AT-Equity.csv,downloaded,2068
FFM AT Equity,FireFly Metals Ltd,FFM-AT-Equity.csv,downloaded,3110
FID AT Equity,Fiducian Group Ltd,FID-AT-Equity.csv,downloaded,1340
FLT AT Equity,Flight Centre Travel Group Ltd,FLT-AT-Equity.csv,downloaded,5299
FMG AT Equity,Fortescue Ltd,FMG-AT-Equity.csv,downloaded,4880
FML AT Equity,Focus Minerals Ltd,FML-AT-Equity.csv,downloaded,4794
FPH AT Equity,Fisher & Paykel Healthcare Cor,FPH-AT-Equity.csv,downloaded,4551
FPR AT Equity,FleetPartners Group Ltd,FPR-AT-Equity.csv,downloaded,1443
FRI AT Equity,Finbar Group Ltd,FRI-AT-Equity.csv,downloaded,4081
FRS AT Equity,Forrestania Resources Ltd,FRS-AT-Equity.csv,too_short,0
FWD AT Equity,Fleetwood Ltd,FWD-AT-Equity.csv,downloaded,5181
GDF AT Equity,Garda Property Group,GDF-AT-Equity.csv,downloaded,1374
GDG AT Equity,Generation Development Group L,GDG-AT-Equity.csv,downloaded,1642
GDI AT Equity,GDI Property Group Partnership,GDI-AT-Equity.csv,downloaded,1782
GEM AT Equity,G8 Education Ltd,GEM-AT-Equity.csv,downloaded,3064
GG8 AT Equity,Gorilla Gold Mines Ltd,GG8-AT-Equity.csv,downloaded,3278
GGP AT Equity,Greatland Resources Ltd,GGP-AT-Equity.csv,too_short,0
GLF AT Equity,Gemlife Communities Group,GLF-AT-Equity.csv,too_short,0
GLN AT Equity,Galan Lithium Ltd,GLN-AT-Equity.csv,downloaded,1097
GMD AT Equity,Genesis Minerals Ltd,GMD-AT-Equity.csv,downloaded,1963
GMG AT Equity,Goodman Group,GMG-AT-Equity.csv,downloaded,4019
GNC AT Equity,GrainCorp Ltd,GNC-AT-Equity.csv,downloaded,5267
GNG AT Equity,GR Engineering Services Ltd,GNG-AT-Equity.csv,downloaded,2254
GNP AT Equity,GenusPlus Group Ltd,GNP-AT-Equity.csv,too_short,12
GOZ AT Equity,Growthpoint Properties Austral,GOZ-AT-Equity.csv,downloaded,3355
GPT AT Equity,GPT Group/The,GPT-AT-Equity.csv,downloaded,5303
GQG AT Equity,GQG Partners Inc,GQG-AT-Equity.csv,too_short,0
GRR AT Equity,Grange Resources Ltd,GRR-AT-Equity.csv,downloaded,5037
GRX AT Equity,Greenx Metals Ltd,GRX-AT-Equity.csv,downloaded,3413
GTK AT Equity,Gentrack Group Ltd,GTK-AT-Equity.csv,downloaded,1518
GWA AT Equity,GWA Group Ltd,GWA-AT-Equity.csv,downloaded,5314
GYG AT Equity,Guzman y Gomez Ltd,GYG-AT-Equity.csv,too_short,0
HCH AT Equity,Hot Chili Ltd,HCH-AT-Equity.csv,downloaded,2460
HCW AT Equity,HealthCo REIT,HCW-AT-Equity.csv,too_short,0
HDN AT Equity,HomeCo Daily Needs REIT,HDN-AT-Equity.csv,too_short,27
HLI AT Equity,Helia Group Ltd,HLI-AT-Equity.csv,downloaded,1679
HLO AT Equity,Helloworld Travel Ltd,HLO-AT-Equity.csv,downloaded,4090
HLS AT Equity,Healius Ltd,HLS-AT-Equity.csv,downloaded,5234
HMC AT Equity,HMC Capital Ltd,HMC-AT-Equity.csv,downloaded,308
HSN AT Equity,Hansen Technologies Ltd,HSN-AT-Equity.csv,downloaded,4572
HUB AT Equity,HUB24 Ltd,HUB-AT-Equity.csv,downloaded,3058
HUM AT Equity,Humm Group Ltd,HUM-AT-Equity.csv,downloaded,3552
HVN AT Equity,Harvey Norman Holdings Ltd,HVN-AT-Equity.csv,downloaded,5315
HZN AT Equity,Horizon Oil Ltd,HZN-AT-Equity.csv,downloaded,5271
IAG AT Equity,Insurance Australia Group Ltd,IAG-AT-Equity.csv,downloaded,5158
IDX AT Equity,Integral Diagnostics Ltd,IDX-AT-Equity.csv,downloaded,1307
IEL AT Equity,IDP Education Ltd,IEL-AT-Equity.csv,downloaded,1285
IFL AT Equity,Insignia Financial Ltd,IFL-AT-Equity.csv,downloaded,4315
IFT AT Equity,Infratil Ltd,IFT-AT-Equity.csv,downloaded,772
IGL AT Equity,IVE Group Ltd,IGL-AT-Equity.csv,downloaded,1261
IGO AT Equity,IGO Ltd,IGO-AT-Equity.csv,downloaded,4782
ILU AT Equity,Iluka Resources Ltd,ILU-AT-Equity.csv,downloaded,5310
IMB AT Equity,Intelligent Monitoring Group L,IMB-AT-Equity.csv,downloaded,3558
IMD AT Equity,Imdex Ltd,IMD-AT-Equity.csv,downloaded,5092
IMM AT Equity,Immutep Ltd,IMM-AT-Equity.csv,downloaded,4987
IMR AT Equity,Imricor Medical Systems Inc,IMR-AT-Equity.csv,downloaded,316
INA AT Equity,Ingenia Communities Group,INA-AT-Equity.csv,downloaded,4126
ING AT Equity,Inghams Group Ltd,ING-AT-Equity.csv,downloaded,1051
INR AT Equity,ioneer Ltd,INR-AT-Equity.csv,downloaded,2190
